Typ,Liga,Spiel,Tipp,Anstoß,Modell-%,BestOdds,Edge-%,Kelly-%,λ-Heim,λ-Gast
Fußball,1. Bundesliga,VfB Stuttgart – VfL Wolfsburg,Unentschieden,2026-03-01T14:30:00Z,19.2,5.40,3.6,0.8,2.37,1.39
Fußball,1. Bundesliga,VfB Stuttgart – VfL Wolfsburg,VfL Wolfsburg,2026-03-01T14:30:00Z,21.6,6.80,46.8,5.0,2.37,1.39
Fußball,1. Bundesliga,Eintracht Frankfurt – SC Freiburg,Eintracht Frankfurt,2026-03-01T16:30:00Z,55.9,2.21,23.6,5.0,2.25,1.43
Fußball,1. Bundesliga,Hamburger SV – RB Leipzig,Hamburger SV,2026-03-01T18:30:00Z,27.8,3.85,7.0,2.5,1.08,1.47
Fußball,1. Bundesliga,Hamburger SV – Bayer Leverkusen,Bayer Leverkusen,2026-03-04T19:30:00Z,54.6,2.13,16.3,5.0,1.02,1.75
Fußball,1. Bundesliga,1. FC Heidenheim – TSG Hoffenheim,1. FC Heidenheim,2026-03-07T14:30:00Z,24.6,5.07,24.6,5.0,1.24,1.92
Fußball,1. Bundesliga,RB Leipzig – Augsburg,Unentschieden,2026-03-07T14:30:00Z,22.6,5.00,13.1,3.3,1.83,0.90
Fußball,1. Bundesliga,RB Leipzig – Augsburg,Augsburg,2026-03-07T14:30:00Z,18.1,6.25,13.2,2.5,1.83,0.90
Fußball,1. Bundesliga,SC Freiburg – Bayer Leverkusen,Bayer Leverkusen,2026-03-07T14:30:00Z,52.7,2.35,23.9,5.0,1.26,1.92
Fußball,1. Bundesliga,FSV Mainz 05 – VfB Stuttgart,FSV Mainz 05,2026-03-07T14:30:00Z,34.3,3.15,8.1,3.8,1.43,1.59
Fußball,1. Bundesliga,VfL Wolfsburg – Hamburger SV,VfL Wolfsburg,2026-03-07T14:30:00Z,44.0,2.43,6.8,4.8,1.55,1.27
Fußball,1. Bundesliga,1. FC Köln – Borussia Dortmund,1. FC Köln,2026-03-07T17:30:00Z,24.1,4.90,18.0,4.6,1.31,2.06
Fußball,1. Bundesliga,FC St. Pauli – Eintracht Frankfurt,Eintracht Frankfurt,2026-03-08T14:30:00Z,53.4,2.90,54.7,5.0,0.99,1.68
Fußball,1. Bundesliga,Union Berlin – Werder Bremen,Werder Bremen,2026-03-08T16:30:00Z,34.3,3.60,23.5,5.0,1.35,1.24
